date,co2_median,R.H._median,Press_median,Temp_median,O3_median,PM1_median,PM10_median,PM2.5_median
2020-06-09 00:00:00+00:00,413.0,57.0,99727.5,23.17,0.0,8.0,12.0,11.0
2020-06-10 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-11 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-12 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-13 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-14 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-15 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-16 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-17 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-18 00:00:00+00:00,483.5,57.0,99841.0,24.91,0.0,3.0,5.0,5.0
2020-06-19 00:00:00+00:00,400.0,66.22,100370.0,24.1,0.0,5.0,7.0,7.0
2020-06-20 00:00:00+00:00,400.0,85.14,100226.0,19.94,0.0,6.0,9.0,8.0
2020-06-21 00:00:00+00:00,400.0,75.59,100094.0,22.03,0.0,3.5,5.0,5.0
2020-06-22 00:00:00+00:00,400.0,79.26,100243.0,21.78,0.0,6.0,8.0,8.0
2020-06-23 00:00:00+00:00,400.0,82.87,100641.0,19.85,0.0,4.0,5.0,5.0
2020-06-24 00:00:00+00:00,400.0,81.39,101310.0,21.41,0.0,5.0,7.0,7.0
2020-06-25 00:00:00+00:00,400.0,64.72,101865.0,25.1,0.0,6.0,8.0,8.0
2020-06-26 00:00:00+00:00,400.0,46.5,101730.0,29.16,0.0,4.0,6.0,6.0
2020-06-27 00:00:00+00:00,400.0,47.3,101506.0,29.89,0.0,4.0,7.0,6.0
2020-06-28 00:00:00+00:00,400.0,53.04,100914.0,29.57,0.0,6.0,9.0,8.0
2020-06-29 00:00:00+00:00,400.0,64.36,100517.0,27.48,0.0,9.0,13.0,12.0
2020-06-30 00:00:00+00:00,400.0,65.75,100607.0,25.18,0.0,7.0,10.0,9.0
2020-07-01 00:00:00+00:00,400.0,55.42,100912.0,28.27,0.0,7.0,10.0,9.0
2020-07-02 00:00:00+00:00,400.0,51.25,100755.0,30.02,0.0,5.0,8.0,7.0
2020-07-03 00:00:00+00:00,400.0,51.29,100569.0,29.8,0.0,5.0,7.0,7.0
2020-07-04 00:00:00+00:00,400.0,72.97,100929.0,24.48,0.0,8.0,12.0,11.0
2020-07-05 00:00:00+00:00,400.0,65.19,100917.0,25.27,0.0,8.0,12.0,11.0
2020-07-06 00:00:00+00:00,400.0,66.36,100739.0,25.14,0.0,7.0,10.0,9.0
2020-07-07 00:00:00+00:00,400.0,66.36,100739.0,25.14,0.0,7.0,10.0,9.0
2020-07-08 00:00:00+00:00,400.0,66.36,100739.0,25.14,0.0,7.0,10.0,9.0
2020-07-09 00:00:00+00:00,400.0,46.23,101390.0,27.02,0.0,4.0,5.0,5.0
2020-07-10 00:00:00+00:00,400.0,50.6,101345.0,28.08,0.0,4.0,6.0,6.0
2020-07-11 00:00:00+00:00,400.0,44.45,101239.0,29.67,0.0,2.0,3.0,3.0
2020-07-12 00:00:00+00:00,400.0,67.37,101246.0,20.17,0.0,4.0,5.0,5.0
2020-07-13 00:00:00+00:00,400.0,62.19,101312.0,17.22,0.0,2.0,3.0,3.0
2020-07-14 00:00:00+00:00,400.0,60.22,101207.0,19.71,0.0,3.0,4.0,4.0
2020-07-15 00:00:00+00:00,400.0,54.5,101077.0,22.64,0.0,5.0,7.0,7.0
2020-07-16 00:00:00+00:00,400.0,65.27,100828.0,20.92,0.0,14.0,20.0,18.0
2020-07-17 00:00:00+00:00,400.0,66.18,100811.0,22.66,0.0,8.0,12.0,11.0
2020-07-18 00:00:00+00:00,400.0,52.06,101005.0,26.3,0.0,7.0,10.0,10.0
2020-07-19 00:00:00+00:00,400.0,72.61,101034.0,20.79,0.0,9.0,13.0,12.0
2020-07-20 00:00:00+00:00,400.0,82.39,101002.0,19.72,0.0,13.0,18.0,16.0
2020-07-21 00:00:00+00:00,400.0,67.28,101253.0,23.59,0.0,8.0,11.0,10.0
2020-07-22 00:00:00+00:00,400.0,59.7,101382.0,23.41,0.0,7.0,10.0,9.0
2020-07-23 00:00:00+00:00,400.0,70.65,101137.0,22.09,0.0,9.0,12.0,11.0
2020-07-24 00:00:00+00:00,400.0,56.91,100916.0,26.58,0.0,7.0,10.0,9.0
2020-07-25 00:00:00+00:00,400.0,52.0,100752.0,28.2,0.0,5.0,7.0,7.0
2020-07-26 00:00:00+00:00,400.0,51.09,100835.0,27.77,0.0,6.0,9.0,8.0
2020-07-27 00:00:00+00:00,400.0,66.75,100924.0,24.75,0.0,9.0,13.0,12.0
2020-07-28 00:00:00+00:00,400.0,52.6,100971.0,29.22,0.0,7.0,12.0,10.0
2020-07-29 00:00:00+00:00,400.0,55.83,101035.0,29.21,0.0,9.0,12.0,11.0
